feature,importance
horror,0.011500119276954077
dead,0.009610367220291054
soon,0.007203932927408674
remote,0.006993232082247865
family,0.006449573328562804
old,0.0063972104091878645
ghost,0.00616077229173303
money,0.005276529653897542
dr,0.005189197596935125
group,0.004843966668570123
young,0.004757270070361667
high,0.004746001629588123
night,0.00471972427368056
life,0.00413701089899541
child,0.004019058840683902
virus,0.003994505081034149
finds,0.003944607181541189
zombies,0.003921132899935319
known,0.003887507472261275
home,0.0038851511729902045
